longitud,latitud,distrito,poblacion
-84.162647,09.799013,San Ignacio,9016
-84.229999,09.791995,Guaitil,2406
-84.202075,09.837423,Palmichal,4581
-84.218665,09.764787,Cangrejal,2009
-84.258983,09.743293,Sabanillas,2331
-84.052043,09.932616,San Pedro,23853
-84.033246,09.943128,Sabanilla,13457
-84.050331,09.943687,Mercedes,5852
-84.016389,09.943611,San Rafael,12825
-84.080600,09.96306,San Juan,25969
-84.082500,09.94806,Cinco Esquinas,7883
-84.066700,09.95,Anselmo Llorente,12346
-84.099966,09.960223,León XIII,18336
-84.083300,09.950000,Colima,16972
-84.045351,09.963616,San Vicente,32112
-84.015556,10.006944,San Jerónimo,6844
-84.031944,09.974722,La Trinidad,21773
-84.441066,09.907121,San Pablo,1357
-84.446414,09.875455,San Pedro,646
-84.526891,09.877551,San Juan de Mata,1182
-84.456653,09.852596,San Luis,517
-84.569386,09.730418,"Bijagual, Carara",2108
-83.969852,09.652609,Santa María,4621
-83.968645,09.712393,Jardín,671
-83.918705,09.644996,Copey,2016
-84.038036,09.914413,Curridabat,28813
-84.037189,09.930442,Granadilla,17713
-84.034381,09.912703,Sánchez,6429
-84.025169,09.898533,Tirrases,19852
-83.704545,9.374574,San Isidro de El General,46017
-83.661531,09.371823,El General,6780
-83.664882,9.326182,Daniel Flores,33591
-83.657817,9.421281,Rivas,6593
-83.549910,09.280451,San Pedro,9076
-83.642572,09.206877,"San Rafael, Platanares",7073
-83.569606,9.161736,Pejibaye,8001
-83.582019,9.289382,Cajón,8574
-83.801939,9.289285,"Platanillo, Barú",2786
-83.761753,9.396248,Río Nuevo,3067
-83.737851,9.417667,Páramo,4511
-83.548630,09.193335,"San Antonio, La Amistad",2863
-84.041016,09.683858,San Pablo,4378
-84.082379,09.738614,San Andrés,1639
-84.112365,09.670026,Llano Bonito,1730
-84.076137,09.676575,San Isidro,1531
-84.030934,09.731723,Santa Cruz,1978
-84.059467,09.718086,San Antonio,1106
-85.012546,9.738073,Tambor,276
-85.058471,9.661931,Montezuma,260
-85.142584,9.599142,Malpaís,255
-85.164814,9.871621,San Blas,414
-85.113745,9.960482,Jicaral,2097
-85.156918,9.990406,Corozal,540
-85.556116,9.914828,Buenavista,351
-85.774899,10.102811,Marbella,385
-85.775499,10.379212,Huacas,631
-85.241547,10.595821,Salitral,126
